A2 RESERVE BANK OF AUSTRALIA – MONETARY POLICY CHANGES,,
Title,Change in Cash Rate Target,New Cash Rate Target
Description,Change in Cash Rate Target (in percentage points),The Cash Rate Target As Announced
Frequency,As announced,As announced
Type,Original,Original
Units,Per cent,Per cent
,,
,,
Source,RBA,RBA
Publication date,02-Aug-2022,02-Aug-2022
Series ID,ARBAMPCCCR,ARBAMPCNCRT
23-Jan-1990,-0.50 to -1.00,17.00 to 17.50
15-Feb-1990,-0.50,16.50 to 17.00
04-Apr-1990,-1.00 to -1.50,15.00 to 15.50
02-Aug-1990,-1.00,14.00
15-Oct-1990,-1.00,13.00
18-Dec-1990,-1.00,12.00
04-Apr-1991,-0.50,11.50
16-May-1991,-1.00,10.50
03-Sep-1991,-1.00,9.50
06-Nov-1991,-1.00,8.50
08-Jan-1992,-1.00,7.50
06-May-1992,-1.00,6.50
08-Jul-1992,-0.75,5.75
23-Mar-1993,-0.50,5.25
30-Jul-1993,-0.50,4.75
17-Aug-1994,+0.75,5.50
24-Oct-1994,+1.00,6.50
14-Dec-1994,+1.00,7.50
31-Jul-1996,-0.50,7.00
06-Nov-1996,-0.50,6.50
11-Dec-1996,-0.50,6.00
23-May-1997,-0.50,5.50
30-Jul-1997,-0.50,5.00
02-Dec-1998,-0.25,4.75
03-Nov-1999,+0.25,5.00
02-Feb-2000,+0.50,5.50
05-Apr-2000,+0.25,5.75
03-May-2000,+0.25,6.00
02-Aug-2000,+0.25,6.25
07-Feb-2001,-0.50,5.75
07-Mar-2001,-0.25,5.50
04-Apr-2001,-0.50,5.00
05-Sep-2001,-0.25,4.75
03-Oct-2001,-0.25,4.50
05-Dec-2001,-0.25,4.25
08-May-2002,+0.25,4.50
05-Jun-2002,+0.25,4.75
05-Nov-2003,+0.25,5.00
03-Dec-2003,+0.25,5.25
02-Mar-2005,+0.25,5.50
03-May-2006,+0.25,5.75
02-Aug-2006,+0.25,6.00
08-Nov-2006,+0.25,6.25
08-Aug-2007,+0.25,6.50
07-Nov-2007,+0.25,6.75
06-Feb-2008,+0.25,7.00
05-Mar-2008,+0.25,7.25
03-Sep-2008,-0.25,7.00
08-Oct-2008,-1.00,6.00
05-Nov-2008,-0.75,5.25
03-Dec-2008,-1.00,4.25
04-Feb-2009,-1.00,3.25
08-Apr-2009,-0.25,3.00
07-Oct-2009,+0.25,3.25
04-Nov-2009,+0.25,3.50
02-Dec-2009,+0.25,3.75
03-Mar-2010,+0.25,4.00
07-Apr-2010,+0.25,4.25
05-May-2010,+0.25,4.50
03-Nov-2010,+0.25,4.75
02-Nov-2011,-0.25,4.50
07-Dec-2011,-0.25,4.25
02-May-2012,-0.50,3.75
06-Jun-2012,-0.25,3.50
03-Oct-2012,-0.25,3.25
05-Dec-2012,-0.25,3.00
08-May-2013,-0.25,2.75
07-Aug-2013,-0.25,2.50
04-Feb-2015,-0.25,2.25
06-May-2015,-0.25,2.00
04-May-2016,-0.25,1.75
03-Aug-2016,-0.25,1.50
05-Jun-2019,-0.25,1.25
03-Jul-2019,-0.25,1.00
02-Oct-2019,-0.25,0.75
04-Mar-2020,-0.25,0.50
20-Mar-2020,-0.25,0.25
04-Nov-2020,-0.15,0.10
04-May-2022,+0.25,0.35
08-Jun-2022,+0.50,0.85
06-Jul-2022,+0.50,1.35
03-Aug-2022,+0.50,1.85
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
